APPS,CONTACT NMBER,MODE OF TRASPORT,EMMISION INDEX,PREFERENCE(RANK),WEATHER,AVG SPEED,,,
mGaadi,8042421414,Auto Rickshaws,3.72,3.3,1,50kmh,,,
Namma yatri,80 68501060,Auto Rickshaws,941.26,4.2,1,50kmh,,,
Rapido Auto,800.272.3900,Auto Rickshaws,3.72,4.4,1,50kmh,,,
Uber Auto,833-305-4871,Auto Rickshaws,3.72,4.5,1,50kmh,,,
Uber,833-305-4871,taxis,41.3,4.5,1,18kmh,,,
Ola Cabs,91 804 665 5300,taxis,41.3,3.6,1,17kmh,,,
Ola Auto,91 806 735 0900,Auto Rickshaws,3.72,3.6,1,50kmh,,,
Meru Cabs,44224422,taxis,41.3,1.2,1,27kmh,,,
Savaari,90 4545 0000 ,taxis,41.3,3.5,1,35kmh,,,
Fasttrack,28889999,taxis,41.3,4,1,25kmh,,,
Mega Cabs,9350011111,taxis,41.3,3.5,1,35kmh,,,
KSTDC Cabs,080 – 4466 4466.,taxis,41.3,3.7,1,27kmh,,,
Zoomcar, 1800 419 2500,taxis,41.3,3.7,1,35kmh,,,
Yulu,8099860061,Cycling,14.8,4,0,23kmh,,,
Bounce,866-8437211,Cycling,14.8,4.2,0,20kmh,,,
Mobycy,911244789888,Cycling,14.8,3.3,0,19kmh,,,
Zoomcar PEDL,080-6897 5666,Cycling,14.8,3.7,0,20kmh,,,
Cyclops,8099860061,Cycling,14.8,3,0,21kmh,,,
Strava,9428171365,Cycling,14.8,4.8,0,22kmh,,,
Zoomcar, 1800 419 2500,Rent-a-Car Services,41.3,3.7,1,35kmh,,,
Revv,9250035555,Rent-a-Car Services,41.3,4.6,1,35kmh,,,
Drivezy,080 6193 3715 ,Rent-a-Car Services,41.3,1.2,1,35kmh,,,
Avis,0124 472 4850,Rent-a-Car Services,41.3,4.7,1,35kmh,,,
Myles,888 222 2222,Rent-a-Car Services,41.3,4.0 ,1,35kmh,,,
Carzonrent,9555997650,Rent-a-Car Services,41.3,1.3,1,35kmh,,,
DriveU,88807 12345,Rent-a-Car Services,41.3,3.5,1,35kmh,,,
myBMTC,080 2248 3777,BUS,105,1.6,1,88kmh,,,
Namma Metro,1800 4251 2345,METRO,32.4 ,4.5,1,45kmh,,,
Vogo,8099860061,RENTAL BIKES,0.11337,3.6,0,18kmh,,,
Royal Brothers,9019595595,RENTAL BIKES,0.11337,4.0 ,0,18kmh,,,
ONN Bikes,08378007800,RENTAL BIKES,0.11337,3.4,0,18kmh,,,
Drivezy,080 6193 3715,RENTAL BIKES,0.11337,4.6,0,18kmh,,,
WheelStreet,7063293824,RENTAL BIKES,0.11337,1.4,0,18kmh,,,
