Station Name (English),Line,Layout,Latitude,Longitude
Attiguppe,Purple Line,Elevated,12.96279186,77.53388476
Baiyappanahalli ,Purple Line,At Grade,12.9913995,77.65233301
Banashankari,Green Line,Elevated,12.91631235,77.5736288
Krantivira Sangolli Rayanna Railway Station,Purple Line,Underground,12.97657214,77.5657561
Chickpete,Green Line,Underground,12.97419891,77.57708447
Cubbon Park,Purple Line,Underground,12.98100406,77.59744741
Dasarahalli,Green Line,Elevated,13.04381364,77.51240055
Deepanjali Nagar,Purple Line,Elevated,12.95323967,77.53714421
Doddakallasandra,Green Line,Elevated,12.88485112,77.55214772
Garudacharapalya,Purple Line,Elevated,12.99369557,77.70368647
Goraguntepalya,Green Line,Elevated,13.02869504,77.54078146
Halasuru,Purple Line,Elevated,12.97655164,77.62667205
Hoodi,Purple Line,Elevated,12.98890152,77.71138297
Hopefarm Channasandra,Purple Line,Elevated,12.98761797,77.75380576
"Sri Balagangadharanatha Swamiji Station, Hosahalli",Purple Line,Elevated,12.97450659,77.54543287
Indiranagar,Purple Line,Elevated,12.97895191,77.63835404
Jalahalli,Green Line,Elevated,13.03979944,77.51946013
Jayanagar,Green Line,Elevated,12.93086678,77.5802055
Jayaprakash Nagar,Green Line,Elevated,12.90845566,77.57323266
Jnanabharathi,Purple Line,Elevated,12.93539907,77.51204017
Kadugodi Tree Park,Purple Line,Elevated,12.98589026,77.74692782
Krishna Rajendra Market,Green Line,Underground,12.96259055,77.57533331
Krishnarajapuram (K.R.Puram),Purple Line,Elevated,13.00456021,77.675196
Kengeri ,Purple Line,Elevated,12.90842339,77.47629983
Kengeri Bus Terminal,Purple Line,Elevated,12.91489297,77.48772545
Konanakunte Cross,Green Line,Elevated,12.8897666,77.56278
Kundalahalli,Purple Line,Elevated,12.97739024,77.71638973
Lalbagh,Green Line,Elevated,12.9469641,77.57995738
Magadi Road,Purple Line,Elevated,12.97600546,77.5554602
Mahalakshmi,Green Line,Elevated,13.00865119,77.54888784
Mahakavi Kuvempu Road,Green Line,Elevated,12.99973586,77.55703303
"Nadaprabhu Kempegowda Station, Majestic ",Purple Line,Underground,12.97625656,77.572844
"Nadaprabhu Kempegowda Station, Majestic ",Green Line,Underground,12.97650748,77.57288691
Mahatma Gandhi Road,Purple Line,Elevated,12.97599712,77.6066919
Mysore Road,Purple Line,Elevated,12.9474169,77.52990224
Nagasandra ,Green Line,Elevated,13.04837628,77.50006778
Nallurhalli,Purple Line,Elevated,12.97707303,77.72068604
National College,Green Line,Elevated,12.95138724,77.57395078
Pantharapalya - Nayandahalli,Purple Line,Elevated,12.94651855,77.53019347
Pattanagere,Purple Line,Elevated,12.92453741,77.49828354
Pattandur Agrahara,Purple Line,Elevated,12.98788131,77.73763267
Peenya,Green Line,Elevated,13.03319831,77.53345638
Peenya Industry,Green Line,Elevated,13.03648216,77.52554185
Rajajinagar,Green Line,Elevated,13.00040221,77.54996434
Rajarajeshwari Nagar,Purple Line,Elevated,12.93763408,77.519556
Rashtreeya Vidyalaya Road,Green Line,Elevated,12.92244518,77.58021818
Mantri Square Sampige Road,Green Line,Elevated,12.99076473,77.57075125
Sandal Soap Factory,Green Line,Elevated,13.01502181,77.55455354
Seetharampalya,Purple Line,Elevated,12.98164876,77.70887841
Singayyanapalya,Purple Line,Elevated,12.99683876,77.69248415
Silk Institute ,Green Line,Elevated,12.91757842,77.62089126
"Sir.M.Visvesvaraya Stn., Central College",Purple Line,Underground,12.97526326,77.58373122
Swami Vivekananda Road,Purple Line,Elevated,12.98693513,77.64496108
South End Circle,Green Line,Elevated,12.93926188,77.57981731
Srirampura,Green Line,Elevated,12.99709032,77.56309881
Sri Sathya Sai Hospital,Purple Line,Elevated,12.98125639,77.72753959
Thalaghattapura,Green Line,Elevated,12.8698276,77.53407329
Trinity,Purple Line,Elevated,12.97372003,77.61679658
Vajarahalli,Green Line,Elevated,12.87784061,77.54468825
"Dr. B. R. Ambedkar Station, Vidhana Soudha",Purple Line,Underground,12.98004796,77.59258432
Vijayanagar,Purple Line,Elevated,12.97106015,77.53738525
Yelachenahalli,Green Line,Elevated,12.89695231,77.57033226
Yeshwanthpur,Green Line,Elevated,13.02393974,77.54986176
Whitefield (Kadugodi),Purple Line,Elevated,12.99566902,77.75787746
